start_time,end_time,duration,mean_pitch,median_pitch,midi_note,note_name,solfege
0.0,3.9067573696145126,3.9067573696145126,188.78322914870628,187.91419219970703,54,F#3,fa#
3.9299773242630387,4.028662131519274,0.09868480725623563,83.11768510606554,83.1444206237793,40,E2,mi
4.0344671201814055,5.363809523809524,1.329342403628118,170.95282904583476,169.03414154052734,53,F3,fa
5.369614512471656,5.973333333333334,0.6037188208616779,159.7961381458101,141.14071655273438,51,D#3,re#
5.979138321995465,6.5364172335600905,0.5572789115646257,94.56979606077843,93.3066177368164,42,F#2,fa#
6.542222222222223,6.600272108843537,0.058049886621314606,224.42947110262784,222.25440979003906,57,A3,la
6.606077097505669,6.797641723356009,0.19156462585034006,83.72693476957433,83.74885940551758,40,E2,mi
6.832471655328798,7.581315192743764,0.7488435374149658,93.73149977463942,93.68421173095703,42,F#2,fa#
7.587120181405895,7.958639455782313,0.37151927437641774,239.21908592810996,248.67230224609375,58,A#3,la#
7.993469387755102,8.411428571428571,0.41795918367346907,219.21490206783764,223.55979919433594,57,A3,la
8.469478458049887,9.108027210884353,0.6385487528344669,222.44166001328477,225.3846435546875,57,A3,la
9.113832199546485,9.253151927437642,0.13931972789115754,103.57207458496094,62.09122085571289,44,G#2,so#
9.258956916099773,9.438911564625851,0.17995464852607768,84.38695907592773,84.50383758544922,40,E2,mi
9.450521541950113,9.537596371882087,0.08707482993197324,177.346510887146,169.32455444335938,53,F3,fa
9.543401360544218,10.553469387755102,1.0100680272108846,120.8491570172991,94.11658477783203,47,B2,ti
10.559274376417234,10.62312925170068,0.06385487528344669,222.99919255574545,225.06631469726562,57,A3,la
10.628934240362812,12.49233560090703,1.8634013605442181,150.1307249365386,124.55979537963867,50,D3,re
12.49814058956916,14.63437641723356,2.1362358276643985,113.98357329329824,93.48456573486328,46,A#2,la#
14.657596371882086,15.772154195011337,1.1145578231292514,227.85556816931216,224.72824096679688,58,A#3,la#
15.777959183673469,15.8940589569161,0.11609977324263099,63.00007865542457,61.99915313720703,35,B1,ti
15.89986394557823,15.981133786848073,0.08126984126984205,220.854443359375,220.36102294921875,57,A3,la
15.986938775510204,17.153741496598638,1.166802721088434,116.07033100694713,93.51724624633789,46,A#2,la#
17.159546485260773,19.922721088435374,2.763174603174601,173.1052885315453,186.88204956054688,53,F3,fa
19.98077097505669,20.24780045351474,0.26702947845804914,248.05877685546875,249.0265350341797,59,B3,ti
20.25360544217687,20.35809523809524,0.1044897959183686,83.10258764969676,83.11195373535156,40,E2,mi
20.36390022675737,20.48580498866213,0.12190476190476218,249.1123053810813,249.16191864013672,59,B3,ti
20.509024943310656,20.909569160997734,0.40054421768707726,249.01675218854632,248.97836303710938,59,B3,ti
20.93278911564626,21.072108843537414,0.13931972789115576,249.3736572265625,249.42254638671875,59,B3,ti
21.095328798185943,21.716462585034012,0.6211337868480697,224.78678830464682,224.91881561279297,57,A3,la
21.722267573696143,22.529160997732426,0.8068934240362822,155.89256199428013,168.4607925415039,51,D#3,re#
22.534965986394557,22.58721088435374,0.0522448979591843,61.637128067016604,61.6051139831543,35,B1,ti
22.593015873015872,22.755555555555556,0.1625396825396841,173.7297258048222,173.73377990722656,53,F3,fa
22.784580498866212,23.678548752834466,0.8939682539682536,158.06284809727822,169.25192260742188,51,D#3,re#
23.684353741496597,25.344580498866215,1.6602267573696174,163.17885263954722,167.84201049804688,52,E3,mi
25.350385487528346,25.663854875283448,0.31346938775510225,153.81967357288707,140.54200744628906,51,D#3,re#
25.692879818594104,26.81904761904762,1.1261678004535156,165.90529503455528,167.52040100097656,52,E3,mi
26.82485260770975,28.398004535147393,1.5731519274376424,126.01511946846458,124.41385650634766,47,B2,ti
28.421224489795918,29.698321995464852,1.2770975056689338,114.65625397004693,139.72755432128906,46,A#2,la#
29.704126984126983,30.95219954648526,1.2480725623582778,122.7613714006212,93.5865478515625,47,B2,ti
30.958004535147392,32.26993197278912,1.3119274376417245,230.6779463175635,224.3273162841797,58,A#3,la#
32.275736961451244,32.35700680272109,0.08126984126984382,82.65622914632162,82.63639068603516,40,E2,mi
32.40344671201814,33.00716553287982,0.6037188208616797,89.30729682559058,92.55360412597656,41,F2,fa
33.04780045351474,33.25097505668934,0.20317460317460245,83.67638270060222,83.69174194335938,40,E2,mi
33.274195011337866,33.674739229024944,0.40054421768707726,93.84634922572545,93.8670539855957,42,F#2,fa#
33.68054421768707,36.35083900226758,2.6702947845805056,176.5263346756875,187.14405822753906,53,F3,fa
36.385668934240364,36.53659863945578,0.15092970521541815,224.97781259042245,224.8806915283203,57,A3,la
36.577233560090704,36.635283446712016,0.05804988662131194,749.0955422141335,749.140869140625,78,F#5,fa#
36.67011337868481,36.75138321995465,0.08126984126983672,225.81719970703125,225.70477294921875,57,A3,la
36.75718820861678,36.902312925170065,0.1451247165532834,83.1351330096905,83.1097183227539,40,E2,mi
36.9081179138322,37.122902494331065,0.21478458049886484,231.54796279104133,227.11158752441406,58,A#3,la#
37.15773242630385,38.58575963718821,1.428027210884359,208.8346014910864,224.80816650390625,56,G#3,so#
38.626394557823126,39.038548752834465,0.41215419501133965,180.76762199401855,168.28713989257812,54,F#3,fa#
39.0443537414966,39.11981859410431,0.07546485260770908,61.20805849347796,61.218482971191406,35,B1,ti
39.12562358276644,39.2649433106576,0.13931972789116287,187.7410009765625,187.89828491210938,54,F#3,fa#
39.32299319727891,41.08190476190476,1.7589115646258477,187.33070273148385,169.79004669189453,54,F#3,fa#
41.087709750566894,41.50566893424036,0.4179591836734673,147.3179555396511,140.69749450683594,50,D3,re
41.511473922902496,41.68562358276644,0.17414965986394293,61.34718482725082,61.398860931396484,35,B1,ti
41.691428571428574,42.06875283446712,0.3773242630385454,254.90802279385653,239.03630828857422,60,C4,do
42.10358276643991,42.707301587301586,0.6037188208616797,243.62992481050037,168.31175231933594,59,B3,ti
42.71310657596372,44.00181405895692,1.2887074829931962,138.33269463098637,125.4749526977539,49,C#3,do#
44.007619047619045,44.32689342403628,0.31927437641723344,94.69283485412598,124.56262969970703,42,F#2,fa#
44.33269841269841,45.5633560090703,1.2306575963718842,146.52185796460077,140.533935546875,50,D3,re
45.569160997732425,46.968163265306124,1.3990022675736995,93.59998838566551,93.53564453125,42,F#2,fa#
46.97396825396825,48.4368253968254,1.4628571428571462,215.31122960026556,224.17845153808594,57,A3,la
48.442630385487526,48.58195011337868,0.13931972789115576,62.11166046142578,62.112422943115234,35,B1,ti
48.61097505668934,49.83002267573696,1.2190476190476218,92.65200776737449,93.57109069824219,42,F#2,fa#
49.83582766439909,52.81378684807256,2.9779591836734696,159.0026396962919,140.43604278564453,51,D#3,re#
52.819591836734695,54.619138321995464,1.7995464852607697,177.76974544954453,187.0773162841797,53,F3,fa
54.6249433106576,55.530521541950115,0.905578231292516,129.29812510302114,140.49667358398438,48,C3,do
55.53632653061224,57.88734693877551,2.351020408163265,188.72630240529628,186.8721466064453,54,F#3,fa#
